participant_id,image,rating,type,detail,number,factor
010495e7,natural_medium_2_x2.jpeg,3,natural,medium,2,x2
010495e7,cgi_low_1_x4.jpg,1,cgi,low,1,x4
010495e7,cgi_low_2_x2.jpg,4,cgi,low,2,x2
010495e7,natural_high_2_x2.jpeg,3,natural,high,2,x2
010495e7,natural_medium_1_x2.jpeg,3,natural,medium,1,x2
010495e7,cgi_high_2_x4.jpg,1,cgi,high,2,x4
010495e7,cgi_medium_2_x2.jpg,3,cgi,medium,2,x2
010495e7,ai_high_3_x4.png,2,ai,high,3,x4
010495e7,ai_medium_3_x4.png,2,ai,medium,3,x4
010495e7,ai_medium_3_x2.png,4,ai,medium,3,x2
010495e7,ai_high_1_x4.png,2,ai,high,1,x4
010495e7,ai_low_1_x2.png,4,ai,low,1,x2
010495e7,ai_high_1_x2.png,4,ai,high,1,x2
010495e7,ai_medium_1_x2.png,4,ai,medium,1,x2
010495e7,ai_medium_2_x4.png,2,ai,medium,2,x4
010495e7,cgi_low_1_x2.jpg,4,cgi,low,1,x2
010495e7,cgi_low_3_x4.png,1,cgi,low,3,x4
010495e7,cgi_medium_1_x4.jpeg,1,cgi,medium,1,x4
010495e7,natural_low_2_x2.jpg,4,natural,low,2,x2
010495e7,cgi_high_3_x4.jpg,1,cgi,high,3,x4
010495e7,natural_high_3_x4.jpeg,1,natural,high,3,x4
010495e7,ai_low_2_x2.png,4,ai,low,2,x2
010495e7,ai_medium_2_x2.png,4,ai,medium,2,x2
010495e7,natural_high_2_x4.jpeg,1,natural,high,2,x4
010495e7,ai_low_3_x2.png,5,ai,low,3,x2
010495e7,natural_high_1_x2.jpeg,3,natural,high,1,x2
010495e7,natural_medium_3_x4.jpeg,2,natural,medium,3,x4
010495e7,ai_high_2_x4.png,1,ai,high,2,x4
010495e7,ai_medium_1_x4.png,2,ai,medium,1,x4
010495e7,cgi_high_1_x4.jpeg,2,cgi,high,1,x4
010495e7,ai_low_2_x4.png,3,ai,low,2,x4
010495e7,cgi_high_2_x2.jpg,4,cgi,high,2,x2
010495e7,ai_low_1_x4.png,2,ai,low,1,x4
010495e7,cgi_medium_3_x4.jpg,2,cgi,medium,3,x4
010495e7,natural_medium_3_x2.jpeg,4,natural,medium,3,x2
010495e7,ai_high_3_x2.png,4,ai,high,3,x2
010495e7,natural_medium_1_x4.jpeg,2,natural,medium,1,x4
010495e7,natural_low_1_x4.jpeg,1,natural,low,1,x4
010495e7,cgi_high_3_x2.jpg,3,cgi,high,3,x2
010495e7,natural_low_2_x4.jpg,2,natural,low,2,x4
010495e7,natural_high_3_x2.jpeg,3,natural,high,3,x2
010495e7,ai_high_2_x2.png,3,ai,high,2,x2
010495e7,cgi_high_1_x2.jpeg,3,cgi,high,1,x2
010495e7,cgi_medium_3_x2.jpg,2,cgi,medium,3,x2
010495e7,natural_high_1_x4.jpeg,1,natural,high,1,x4
010495e7,natural_low_3_x4.jpg,1,natural,low,3,x4
010495e7,cgi_low_2_x4.jpg,1,cgi,low,2,x4
010495e7,ai_low_3_x4.png,2,ai,low,3,x4
010495e7,natural_low_1_x2.jpeg,4,natural,low,1,x2
010495e7,natural_medium_2_x4.jpeg,1,natural,medium,2,x4
010495e7,cgi_low_3_x2.png,4,cgi,low,3,x2
010495e7,cgi_medium_1_x2.jpeg,3,cgi,medium,1,x2
010495e7,natural_low_3_x2.jpg,2,natural,low,3,x2
010495e7,cgi_medium_2_x4.jpg,1,cgi,medium,2,x4
0bb12f2a,natural_high_1_x2.jpeg,3,natural,high,1,x2
0bb12f2a,ai_medium_3_x4.png,2,ai,medium,3,x4
0bb12f2a,cgi_low_1_x2.jpg,2,cgi,low,1,x2
0bb12f2a,ai_high_2_x4.png,1,ai,high,2,x4
0bb12f2a,natural_high_1_x4.jpeg,1,natural,high,1,x4
0bb12f2a,cgi_low_1_x4.jpg,1,cgi,low,1,x4
0bb12f2a,natural_low_1_x4.jpeg,2,natural,low,1,x4
0bb12f2a,natural_medium_1_x4.jpeg,1,natural,medium,1,x4
0bb12f2a,ai_high_1_x4.png,2,ai,high,1,x4
0bb12f2a,cgi_high_1_x4.jpeg,1,cgi,high,1,x4
0bb12f2a,natural_medium_2_x2.jpeg,4,natural,medium,2,x2
0bb12f2a,natural_low_3_x4.jpg,3,natural,low,3,x4
0bb12f2a,natural_high_3_x2.jpeg,4,natural,high,3,x2
0bb12f2a,ai_medium_2_x4.png,2,ai,medium,2,x4
0bb12f2a,natural_high_3_x4.jpeg,1,natural,high,3,x4
0bb12f2a,cgi_low_2_x4.jpg,2,cgi,low,2,x4
