participant_id,age,sex,colorblindness,expertise,consent
78d824fa,26,Male,No,No,True
42e3ccfa,21,Male,No,No,True
bb25fa4c,23,Male,No,Yes,True
8034b667,22,Male,No,No,True
462f6d13,25,Female,No,Yes,True
48a9b298,23,Male,No,Yes,True
18de0593,21,Female,No,No,True
86b9f945,24,Male,No,No,True
37dd76de,24,Female,No,Yes,True
e5fe38db,26,Male,No,Yes,True
c88e8dea,23,Female,No,No,True
0bb12f2a,28,Male,No,No,True
6c3f54a4,23,Male,No,No,True
40754341,22,Male,Yes,Yes,True
fcceea2c,36,Male,No,Yes,True
f8ba384d,21,Male,No,No,True
010495e7,22,Male,No,No,True
